"district_code","tylephu_goithoai","delta_tylephu_goithoai","rate_tylephu_goithoai","log_delta_tylephu_goithoai","log_rate_tylephu_goithoai","tylephu_goidata","delta_tylephu_goidata","rate_tylephu_goidata","log_delta_tylephu_goidata","log_rate_tylephu_goidata","dt_goi_tt","delta_dt_goi_tt","rate_dt_goi_tt","log_delta_dt_goi_tt","log_rate_dt_goi_tt","partition"
P210011,0.1787,0.0032999999999999974,0.018466703973139324,-5.713832810509703,-3.9917859536929488,0.40554,0.0013400000000000079,0.0033042363268728308,-6.615085665019311,-5.712549898377492,8.45042082690799E8,-2.385877780920005E7,-0.028233833909464576,,,"20201101"
P210011,0.22461,0.045910000000000006,0.2043987355861271,-3.0810723207210065,-1.5876826066495728,0.46226,0.05671999999999999,0.1227015099727426,-2.869628396758265,-2.098000621124671,9.42536805210999E8,9.749472252020001E7,0.10343863707091477,18.395308806505152,-2.2687767206405796,"20201201"
P210011,0.17978,-0.04483000000000001,-0.24936032929135615,,,0.40845,-0.053810000000000024,-0.13174195127922642,,,927439000.12,-1.5097805090999007E7,-0.01627902761156855,,,"20210101"
P210011,0.1531,-0.02667999999999998,-0.17426518615284114,,,0.44969,0.04124,0.09170762080544376,-3.188346619833378,-2.3891497973337357,8.65926000079999E8,-6.1513000040001035E7,-0.07103724802618021,,,"20210201"
P210011,0.16466,0.011559999999999987,0.07020527146848042,-4.460204415737906,-2.65633187862605,0.47537,0.025680000000000036,0.05402107831794189,-3.6620428001603753,-2.9183809693592515,1017533666.76,1.5160766668000102E8,0.14899523389997069,18.836806601661653,-1.9038409607967997,"20210301"
P210012,0.14351,0,0,,,0.41565,0,0,,,1.20021233333333E9,0,0,,,"20200301"
P210012,0.14128,-0.0022300000000000098,-0.015784258210645597,,,0.60242,0.18676999999999994,0.31003286743468006,-1.6778773656566217,-1.1710769631402513,1.23935874983333E9,39146416.5,0.03158602503533738,17.482819443644676,-3.4550405019259203,"20200401"
P210012,0.14295,0.0016700000000000048,0.011682406435816754,-6.3949316525534705,-4.449671292339654,0.6245,0.0220800000000001,0.03535628502802257,-3.813083057573238,-3.3422791081567333,1271076027.5,3.1717277666670084E7,0.02495309248263679,17.27237212717237,-3.6907575172655576,"20200501"
P210012,0.14851,0.005560000000000009,0.037438556326173385,-5.1921571707196446,-3.285054187780361,0.55876,-0.06574000000000002,-0.1176533753310903,,,1.09326052716666E9,-1.7781550033333993E8,-0.16264695917831595,,,"20200601"
P210012,0.15265,0.004140000000000005,0.02712086472322309,-5.487059491144913,-3.607451931343663,0.57589,0.01712999999999998,0.02974526385247179,-4.06692396664611,-3.515085357900125,1.24334716633333E9,1.5008663916666985E8,0.12071177160380724,18.826723279761527,-2.11434962784787,"20200701"
